Date,Branch,Shift,Inflow_m3,Outflow_m3,Backwashing_m3,Non_Revenue_Pct,Revenue_Water_m3,Loss_m3,Total_Production_Cost_RWF,Water_Revenue_RWF,Net_Profit_RWF,Recorded_By,pH_Level,Turbidity_NTU,Temperature,Chlorine_mgL,Nitrate_mgL,Efficiency_%
2021-01-01,NZOVE,Day,73597.6,53801.2,2151.5,10,46269.6,19796.4,1984494.0,35535022.0,33550528.0,system_historical,7.07,1.53,22.62,0.29,44.79,73.1
2021-01-01,NZOVE,Night,82132.5,59254.9,1793.5,10,51535.9,22877.7,2429105.0,39579560.0,37150455.0,system_historical,7.2,2.02,22.67,0.44,18.29,72.1
2021-01-02,NZOVE,Day,72922.0,52834.7,2021.3,10,45529.9,20087.3,2379373.0,34966943.0,32587570.0,system_historical,7.27,4.16,20.69,0.26,42.49,72.5
2021-01-02,NZOVE,Night,78215.6,57662.8,2518.3,10,49378.2,20552.8,2801863.0,37922465.0,35120602.0,system_historical,7.36,1.59,18.89,0.45,26.82,73.7
2021-01-03,NZOVE,Day,82971.6,58572.5,2040.7,10,50674.5,24399.1,2417339.0,38918029.0,36500690.0,system_historical,7.44,2.72,21.05,0.35,34.9,70.6
2021-01-04,NZOVE,Day,69092.5,50657.7,2190.1,10,43401.8,18434.8,2409573.0,33332564.0,30922991.0,system_historical,7.48,1.66,19.46,0.38,31.86,73.3
2021-01-05,NZOVE,Day,82700.4,61408.6,2161.0,10,53106.7,21291.8,2467529.0,40785917.0,38318388.0,system_historical,7.32,4.4,23.25,0.35,22.98,74.3
2021-01-05,NZOVE,Night,71759.7,55642.4,2569.6,10,47508.6,16117.3,2384958.0,36486598.0,34101640.0,system_historical,6.87,3.44,22.33,0.41,15.38,77.5
2021-01-06,NZOVE,Day,71842.7,53212.3,2199.5,10,45691.6,18630.4,2121649.0,35091130.0,32969481.0,system_historical,7.0,2.64,20.91,0.29,32.06,74.1
2021-01-06,NZOVE,Night,79780.2,60727.6,2881.2,10,51773.7,19052.6,2259619.0,39762209.0,37502590.0,system_historical,7.38,4.22,18.86,0.33,18.16,76.1
2021-01-07,NZOVE,Day,79522.5,63093.8,2031.2,10,54753.2,16428.7,1977729.0,42050495.0,40072766.0,system_historical,7.15,4.15,21.65,0.3,23.19,79.3
2021-01-08,NZOVE,Day,80222.1,58587.1,2439.0,10,50289.4,21635.0,2379300.0,38622251.0,36242950.0,system_historical,7.25,4.45,20.46,0.37,35.14,73.0
2021-01-09,NZOVE,Day,83708.8,61681.9,3022.5,10,52491.2,22026.9,2530201.0,40313256.0,37783056.0,system_historical,7.36,3.15,20.52,0.26,19.98,73.7
2021-01-10,NZOVE,Day,81456.8,58129.2,2626.8,10,49689.5,23327.7,2458996.0,38161512.0,35702516.0,system_historical,6.81,2.95,18.54,0.42,31.59,71.4
2021-01-10,NZOVE,Night,74836.7,57483.6,1759.4,10,49975.9,17353.1,2379316.0,38381463.0,36002147.0,system_historical,6.86,3.51,22.11,0.28,18.2,76.8
2021-01-11,NZOVE,Day,74445.4,56367.9,2230.2,10,48500.9,18077.5,2068489.0,37248720.0,35180230.0,system_historical,6.82,2.9,19.08,0.38,35.79,75.7
2021-01-12,NZOVE,Day,75641.3,53187.3,2112.1,10,45756.5,22453.9,2169234.0,35141011.0,32971776.0,system_historical,6.87,2.8,18.04,0.31,15.4,70.3
2021-01-12,NZOVE,Night,71047.7,53474.0,2561.8,10,45564.9,17573.7,2284984.0,34993816.0,32708832.0,system_historical,7.01,4.2,19.56,0.35,19.63,75.3
2021-01-13,NZOVE,Day,75140.7,55105.6,2707.4,10,46887.7,20035.0,2357740.0,36009751.0,33652012.0,system_historical,6.89,2.43,21.53,0.33,34.01,73.3
2021-01-14,NZOVE,Day,79459.1,57915.6,2836.2,10,49287.9,21543.5,2494217.0,37853104.0,35358887.0,system_historical,7.43,2.35,19.58,0.3,32.95,72.9
2021-01-15,NZOVE,Day,78948.5,59285.8,2364.1,10,50993.1,19662.7,2478663.0,39162681.0,36684018.0,system_historical,7.34,3.91,19.99,0.37,38.17,75.1
2021-01-15,NZOVE,Night,70434.6,52477.1,1968.3,10,45261.1,17957.5,2204658.0,34760553.0,32555894.0,system_historical,7.12,1.93,23.57,0.34,30.48,74.5
2021-01-16,NZOVE,Day,81535.9,61826.2,2701.6,10,52942.0,19709.7,2117001.0,40659418.0,38542417.0,system_historical,7.19,2.6,20.58,0.31,20.04,75.8
2021-01-17,NZOVE,Day,80795.5,58081.3,2425.0,10,49848.2,22714.2,2121365.0,38283428.0,36162063.0,system_historical,7.37,3.94,18.72,0.37,18.14,71.9
2021-01-17,NZOVE,Night,74012.3,53177.0,2606.2,10,45253.1,20835.2,2506146.0,34754370.0,32248225.0,system_historical,7.1,4.22,21.39,0.41,42.26,71.8
