Date,Branch,Shift,Inflow_m3,Outflow_m3,Loss_m3,Total_Production_Cost_RWF,Water_Revenue_RWF,Net_Profit_RWF,Recorded_By,pH_Level,Turbidity_NTU,Temperature,Chlorine_mgL,Nitrate_mgL,Efficiency_%
2021-01-01,KIGALI,Day,92094.4,69828.5,22265.8,2479806.0,53628310.0,51148504.0,system_historical,6.83,4.45,23.05,0.29,27.91,75.8
2021-01-15,KIGALI,Day,83501.9,64568.2,18933.7,2235193.0,49588349.0,47353156.0,system_historical,6.97,3.79,23.67,0.39,40.56,77.3
2021-02-01,KIGALI,Night,84353.6,60023.0,24330.6,2241036.0,46097653.0,43856617.0,system_historical,6.92,3.59,18.74,0.27,39.37,71.2
2021-02-15,KIGALI,Night,91579.8,67997.0,23582.8,2517724.0,52221733.0,49704009.0,system_historical,6.89,1.94,22.12,0.27,16.69,74.2
2021-03-01,KIGALI,Day,93741.2,73049.3,20692.0,2779402.0,56101844.0,53322441.0,system_historical,6.83,4.32,20.71,0.42,28.43,77.9
2021-03-15,KIGALI,Day,89346.3,63748.1,25598.3,2610340.0,48958516.0,46348175.0,system_historical,7.03,2.52,18.03,0.25,28.19,71.3
2021-04-01,KIGALI,Night,88068.8,66525.7,21543.1,2438562.0,51091735.0,48653173.0,system_historical,7.04,2.37,18.33,0.33,34.43,75.5
2021-04-15,KIGALI,Night,88750.5,68811.8,19938.7,2557945.0,52847496.0,50289551.0,system_historical,6.88,1.6,19.84,0.44,27.48,77.5
2021-05-01,KIGALI,Day,91438.6,67092.9,24345.7,2386454.0,51527309.0,49140855.0,system_historical,6.85,2.52,20.19,0.31,16.21,73.4
2021-05-15,KIGALI,Day,93147.9,68113.4,25034.6,2870283.0,52311084.0,49440800.0,system_historical,7.05,3.44,23.5,0.38,18.91,73.1
2021-06-01,KIGALI,Night,84916.6,61952.7,22963.9,2782751.0,47579639.0,44796888.0,system_historical,7.13,4.0,23.86,0.38,37.5,73.0
2021-06-15,KIGALI,Night,84643.6,66113.6,18530.1,2097030.0,50775227.0,48678197.0,system_historical,7.49,4.03,20.55,0.32,37.91,78.1
2021-07-01,KIGALI,Day,83589.0,63412.4,20176.5,2434306.0,48700758.0,46266451.0,system_historical,7.45,2.97,23.2,0.43,26.6,75.9
2021-07-15,KIGALI,Day,93025.5,71993.2,21032.2,2762143.0,55290793.0,52528650.0,system_historical,7.12,4.11,21.55,0.27,17.59,77.4
2021-08-01,KIGALI,Night,86951.2,66043.8,20907.4,2597101.0,50721673.0,48124572.0,system_historical,7.4,3.78,19.25,0.44,33.29,76.0
2021-08-15,KIGALI,Night,92177.9,71928.1,20249.8,2500160.0,55240800.0,52740640.0,system_historical,7.05,4.28,18.98,0.33,31.04,78.0
2021-09-01,KIGALI,Day,93074.1,72122.7,20951.4,2548087.0,55390215.0,52842127.0,system_historical,7.02,2.31,20.91,0.41,42.08,77.5
2021-09-15,KIGALI,Day,86158.0,65398.2,20759.8,2410293.0,50225854.0,47815561.0,system_historical,7.36,3.12,20.2,0.36,36.55,75.9
2021-10-01,KIGALI,Night,96703.1,76345.4,20357.7,2443383.0,58633269.0,56189886.0,system_historical,7.24,2.48,22.51,0.26,32.81,78.9
2021-10-15,KIGALI,Night,90029.5,68709.9,21319.7,2580683.0,52769184.0,50188501.0,system_historical,7.41,1.84,18.37,0.39,26.14,76.3
2021-11-01,KIGALI,Day,86586.7,64616.3,21970.4,2700151.0,49625299.0,46925147.0,system_historical,7.16,4.19,23.89,0.33,30.54,74.6
2021-11-15,KIGALI,Day,96551.8,70549.2,26002.6,2546513.0,54181774.0,51635261.0,system_historical,6.97,1.55,22.32,0.39,42.72,73.1
2021-12-01,KIGALI,Night,92131.4,71832.2,20299.2,2799300.0,55167127.0,52367826.0,system_historical,6.96,2.53,22.74,0.39,41.52,78.0
2021-12-15,KIGALI,Night,84029.5,61034.7,22994.8,2530360.0,46874681.0,44344321.0,system_historical,6.96,2.68,19.72,0.41,18.25,72.6
2021-01-01,MUHANGA,Day,29104.5,22352.3,6752.2,1646392.0,17166544.0,15520152.0,system_historical,7.46,1.68,23.97,0.4,34.55,76.8
2021-01-15,MUHANGA,Day,30535.3,22621.1,7914.2,1444582.0,17373032.0,15928451.0,system_historical,7.12,1.76,21.88,0.32,26.8,74.1
2021-02-01,MUHANGA,Night,29089.4,21357.4,7732.0,1356837.0,16402474.0,15045638.0,system_historical,6.86,1.58,18.71,0.34,40.25,73.4
2021-02-15,MUHANGA,Night,31130.1,23003.2,8127.0,1611700.0,17666436.0,16054735.0,system_historical,7.47,2.56,18.29,0.4,37.11,73.9
2021-03-01,MUHANGA,Day,29561.1,23227.1,6333.9,1408348.0,17838436.0,16430088.0,system_historical,6.89,1.94,21.74,0.36,39.82,78.6
2021-03-15,MUHANGA,Day,27996.2,21039.8,6956.4,1393015.0,16158576.0,14765561.0,system_historical,7.29,2.92,21.18,0.39,41.55,75.2
2021-04-01,MUHANGA,Night,28672.2,21217.4,7454.8,1452325.0,16294946.0,14842621.0,system_historical,7.18,4.49,19.24,0.29,34.45,74.0
2021-04-15,MUHANGA,Night,29533.0,22293.1,7239.9,1320337.0,17121101.0,15800763.0,system_historical,7.21,4.15,20.0,0.35,42.23,75.5
2021-05-01,MUHANGA,Day,32080.0,25045.3,7034.7,1428365.0,19234757.0,17806392.0,system_historical,7.42,3.61,22.57,0.39,44.42,78.1
2021-05-15,MUHANGA,Day,30951.5,22048.9,8902.6,1562851.0,16933575.0,15370724.0,system_historical,7.5,2.11,18.52,0.31,31.25,71.2
2021-06-01,MUHANGA,Night,30714.7,21897.4,8817.3,1457888.0,16817193.0,15359305.0,system_historical,7.47,4.22,22.58,0.36,40.33,71.3
2021-06-15,MUHANGA,Night,28289.8,20317.3,7972.5,1362056.0,15603724.0,14241669.0,system_historical,7.16,2.63,20.72,0.31,44.76,71.8
2021-07-01,MUHANGA,Day,27885.7,21833.6,6052.1,1259914.0,16768213.0,15508300.0,system_historical,6.99,2.08,20.91,0.25,22.91,78.3
2021-07-15,MUHANGA,Day,29386.5,20887.4,8499.1,1577887.0,16041527.0,14463640.0,system_historical,6.94,3.26,20.76,0.43,23.81,71.1
2021-08-01,MUHANGA,Night,29321.2,22630.4,6690.9,1394762.0,17380114.0,15985351.0,system_historical,7.05,2.35,21.45,0.44,26.79,77.2
2021-08-15,MUHANGA,Night,30105.9,23411.9,6694.0,1452234.0,17980338.0,16528104.0,system_historical,7.48,3.03,23.45,0.37,44.05,77.8
2021-09-01,MUHANGA,Day,29910.9,23451.2,6459.7,1553913.0,18010521.0,16456608.0,system_historical,7.1,4.28,23.88,0.37,39.1,78.4
2021-09-15,MUHANGA,Day,31241.7,23834.0,7407.8,1543582.0,18304489.0,16760906.0,system_historical,7.22,3.88,22.02,0.28,25.81,76.3
2021-10-01,MUHANGA,Night,27662.5,21340.0,6322.4,1656309.0,16389129.0,14732820.0,system_historical,6.82,2.66,19.04,0.28,22.76,77.1
2021-10-15,MUHANGA,Night,30856.3,22585.0,8271.3,1566005.0,17345300.0,15779295.0,system_historical,6.81,2.31,19.3,0.35,30.63,73.2
2021-11-01,MUHANGA,Day,30004.8,21533.2,8471.6,1670712.0,16537505.0,14866793.0,system_historical,6.84,2.49,22.14,0.34,43.3,71.8
2021-11-15,MUHANGA,Day,31096.6,24298.7,6797.9,1546258.0,18661397.0,17115138.0,system_historical,6.81,3.6,21.94,0.42,33.03,78.1
2021-12-01,MUHANGA,Night,30242.4,23154.1,7088.3,1438848.0,17782357.0,16343509.0,system_historical,7.1,3.32,18.83,0.44,28.62,76.6
2021-12-15,MUHANGA,Night,28965.1,21041.4,7923.7,1253638.0,16159763.0,14906125.0,system_historical,7.05,4.3,22.76,0.42,43.2,72.6
2021-01-01,MUSANZE,Day,17366.0,13505.7,3860.3,1395831.0,10372409.0,8976579.0,system_historical,7.05,2.86,18.53,0.29,29.99,77.8
2021-01-15,MUSANZE,Day,18255.2,14247.2,4008.0,1268404.0,10941854.0,9673451.0,system_historical,7.35,2.82,19.82,0.38,26.5,78.0
2021-02-01,MUSANZE,Night,16366.8,12244.1,4122.7,1225764.0,9403464.0,8177700.0,system_historical,7.47,4.15,22.83,0.28,44.97,74.8
2021-02-15,MUSANZE,Night,16056.4,12365.0,3691.4,1430252.0,9496349.0,8066098.0,system_historical,6.93,1.81,18.41,0.34,29.97,77.0
2021-03-01,MUSANZE,Day,17241.2,12345.4,4895.8,1298927.0,9481306.0,8182379.0,system_historical,7.28,3.54,20.4,0.38,42.02,71.6
2021-03-15,MUSANZE,Day,15838.1,12381.6,3456.6,1298996.0,9509055.0,8210059.0,system_historical,7.33,1.73,23.03,0.32,24.71,78.2
2021-04-01,MUSANZE,Night,16969.5,12628.8,4340.7,1383004.0,9698880.0,8315876.0,system_historical,7.43,1.69,19.04,0.34,21.44,74.4
2021-04-15,MUSANZE,Night,15813.5,12345.0,3468.5,1188250.0,9480967.0,8292718.0,system_historical,6.88,2.79,18.29,0.4,15.35,78.1
2021-05-01,MUSANZE,Day,16060.8,12329.0,3731.8,1289786.0,9468709.0,8178923.0,system_historical,7.21,1.88,23.64,0.28,28.99,76.8
2021-05-15,MUSANZE,Day,16818.7,13034.6,3784.1,1146854.0,10010566.0,8863712.0,system_historical,7.02,3.91,23.31,0.33,23.98,77.5
2021-06-01,MUSANZE,Night,15927.2,12370.0,3557.3,1388736.0,9500133.0,8111397.0,system_historical,6.89,4.24,19.1,0.32,24.65,77.7
2021-06-15,MUSANZE,Night,17608.7,12814.3,4794.4,1195677.0,9841405.0,8645728.0,system_historical,7.33,4.4,22.89,0.3,39.43,72.8
2021-07-01,MUSANZE,Day,18330.2,13397.0,4933.3,1275055.0,10288886.0,9013831.0,system_historical,7.49,2.41,19.88,0.4,24.26,73.1
2021-07-15,MUSANZE,Day,17175.9,12986.6,4189.3,1385674.0,9973673.0,8587999.0,system_historical,7.2,3.57,21.04,0.34,36.32,75.6
2021-08-01,MUSANZE,Night,18096.2,12874.5,5221.8,1263467.0,9887579.0,8624111.0,system_historical,7.01,3.66,23.88,0.29,20.41,71.1
2021-08-15,MUSANZE,Night,17420.1,13136.1,4284.0,1331965.0,10088558.0,8756592.0,system_historical,7.45,3.75,18.54,0.4,33.09,75.4
2021-09-01,MUSANZE,Day,15823.7,12430.0,3393.7,1371718.0,9546238.0,8174519.0,system_historical,6.99,2.95,20.55,0.3,34.23,78.6
2021-09-15,MUSANZE,Day,17558.0,13184.1,4373.9,1100679.0,10125398.0,9024720.0,system_historical,7.19,1.82,19.28,0.4,39.25,75.1
2021-10-01,MUSANZE,Night,16456.1,12598.2,3858.0,1131348.0,9675388.0,8544040.0,system_historical,7.37,4.44,21.31,0.39,39.98,76.6
2021-10-15,MUSANZE,Night,16902.5,12652.5,4250.0,1378280.0,9717090.0,8338810.0,system_historical,7.13,3.83,18.02,0.45,21.67,74.9
2021-11-01,MUSANZE,Day,15950.7,11467.0,4483.6,1182482.0,8806682.0,7624200.0,system_historical,7.15,3.04,23.58,0.44,20.47,71.9
2021-11-15,MUSANZE,Day,16670.4,12640.5,4029.9,1467107.0,9707935.0,8240829.0,system_historical,7.27,1.8,18.21,0.28,27.87,75.8
2021-12-01,MUSANZE,Night,17996.0,12841.2,5154.8,1152785.0,9862050.0,8709265.0,system_historical,7.27,4.14,20.02,0.27,38.49,71.4
2021-12-15,MUSANZE,Night,18272.9,13439.0,4833.9,1462228.0,10321140.0,8858912.0,system_historical,6.91,2.56,21.46,0.27,35.29,73.5
2021-01-01,RUBAVU,Day,39198.0,28345.8,10852.2,1584561.0,21769567.0,20185006.0,system_historical,6.91,3.7,18.56,0.32,33.53,72.3
2021-01-15,RUBAVU,Day,38988.5,27901.3,11087.2,1802571.0,21428175.0,19625604.0,system_historical,6.85,1.98,21.85,0.42,26.23,71.6
2021-02-01,RUBAVU,Night,43626.4,31099.9,12526.5,1676696.0,23884706.0,22208010.0,system_historical,7.43,4.33,20.81,0.4,20.77,71.3
2021-02-15,RUBAVU,Night,39012.4,29013.8,9998.5,1844730.0,22282604.0,20437874.0,system_historical,6.97,3.54,21.6,0.31,32.25,74.4
2021-03-01,RUBAVU,Day,41897.4,30632.2,11265.3,1787630.0,23525504.0,21737875.0,system_historical,7.44,2.33,22.45,0.41,34.68,73.1
2021-03-15,RUBAVU,Day,37895.5,28687.5,9208.0,1755695.0,22032014.0,20276319.0,system_historical,7.18,2.05,21.11,0.3,32.33,75.7
2021-04-01,RUBAVU,Night,44076.6,34242.8,9833.7,1563419.0,26298492.0,24735073.0,system_historical,7.05,3.77,22.77,0.38,34.08,77.7
2021-04-15,RUBAVU,Night,40181.7,29563.0,10618.7,1463989.0,22704390.0,21240400.0,system_historical,7.07,2.72,18.26,0.38,42.97,73.6
2021-05-01,RUBAVU,Day,38853.0,29292.6,9560.4,1687321.0,22496697.0,20809376.0,system_historical,6.94,3.74,19.66,0.3,34.19,75.4
2021-05-15,RUBAVU,Day,40933.0,30055.1,10877.9,1774368.0,23082316.0,21307949.0,system_historical,7.39,3.81,20.99,0.28,19.46,73.4
2021-06-01,RUBAVU,Night,43342.6,31132.8,12209.7,1777697.0,23910024.0,22132327.0,system_historical,6.86,3.62,22.21,0.42,20.21,71.8
2021-06-15,RUBAVU,Night,40497.9,30555.0,9942.9,1754208.0,23466255.0,21712048.0,system_historical,7.44,2.1,20.24,0.4,30.91,75.4
2021-07-01,RUBAVU,Day,44128.0,31741.4,12386.6,1661776.0,24377389.0,22715612.0,system_historical,7.09,2.43,19.52,0.33,15.9,71.9
2021-07-15,RUBAVU,Day,37938.4,29376.9,8561.5,1789331.0,22561454.0,20772122.0,system_historical,7.29,2.07,19.1,0.3,26.11,77.4
2021-08-01,RUBAVU,Night,43973.1,32466.6,11506.5,1763258.0,24934344.0,23171086.0,system_historical,7.14,4.25,20.55,0.3,36.59,73.8
2021-08-15,RUBAVU,Night,39779.9,29496.0,10283.8,1627800.0,22652955.0,21025155.0,system_historical,7.23,3.94,21.89,0.27,17.5,74.1
2021-09-01,RUBAVU,Day,42397.3,30878.2,11519.1,1697688.0,23714461.0,22016772.0,system_historical,6.84,3.09,20.99,0.31,24.78,72.8
2021-09-15,RUBAVU,Day,43140.9,32658.2,10482.7,1649725.0,25081508.0,23431782.0,system_historical,6.96,1.53,23.3,0.4,34.52,75.7
2021-10-01,RUBAVU,Night,40614.4,29670.4,10944.1,1855742.0,22786838.0,20931095.0,system_historical,7.31,4.13,22.17,0.37,28.87,73.1
2021-10-15,RUBAVU,Night,39465.9,29196.0,10269.9,1666847.0,22422541.0,20755694.0,system_historical,7.36,3.6,23.15,0.29,40.32,74.0
2021-11-01,RUBAVU,Day,42518.9,31328.4,11190.5,1803770.0,24060197.0,22256427.0,system_historical,6.82,4.27,19.52,0.43,16.74,73.7
2021-11-15,RUBAVU,Day,42526.4,31724.5,10802.0,1585192.0,24364390.0,22779198.0,system_historical,6.88,3.39,21.51,0.37,20.88,74.6
2021-12-01,RUBAVU,Night,37821.8,27915.7,9906.1,1778153.0,21439291.0,19661138.0,system_historical,7.18,3.73,22.82,0.3,44.23,73.8
2021-12-15,RUBAVU,Night,43229.3,32216.5,11012.8,1620866.0,24742304.0,23121438.0,system_historical,6.83,1.53,18.55,0.41,20.27,74.5
2021-01-01,HUYE,Day,24060.2,17767.5,6292.7,1427860.0,13645438.0,12217577.0,system_historical,6.81,4.11,21.32,0.28,29.28,73.8
2021-01-15,HUYE,Day,23258.1,17451.2,5806.8,1199841.0,13402554.0,12202713.0,system_historical,7.01,2.02,19.66,0.32,24.57,75.0
2021-02-01,HUYE,Night,23744.0,17953.7,5790.2,1239971.0,13788456.0,12548485.0,system_historical,6.9,1.69,22.34,0.43,23.78,75.6
2021-02-15,HUYE,Night,24188.4,17292.8,6895.6,1355926.0,13280872.0,11924946.0,system_historical,6.85,2.31,19.97,0.41,37.81,71.5
2021-03-01,HUYE,Day,24603.4,18740.9,5862.5,1221987.0,14392988.0,13171001.0,system_historical,7.16,3.03,20.3,0.26,18.99,76.2
2021-03-15,HUYE,Day,24495.5,17565.0,6930.6,1434425.0,13489895.0,12055471.0,system_historical,6.82,4.22,19.74,0.32,17.21,71.7
2021-04-01,HUYE,Night,24187.7,17322.5,6865.1,1267993.0,13303711.0,12035718.0,system_historical,7.11,2.49,23.28,0.33,41.93,71.6
2021-04-15,HUYE,Night,24154.6,18248.6,5906.1,1355160.0,14014895.0,12659735.0,system_historical,7.0,2.52,20.22,0.41,43.45,75.5
2021-05-01,HUYE,Day,23777.8,17064.6,6713.2,1313402.0,13105600.0,11792198.0,system_historical,7.16,1.78,19.57,0.29,33.72,71.8
2021-05-15,HUYE,Day,24954.7,18001.7,6952.9,1282379.0,13825337.0,12542959.0,system_historical,7.25,3.05,20.73,0.45,27.71,72.1
2021-06-01,HUYE,Night,24420.4,19107.9,5312.4,1538059.0,14674888.0,13136828.0,system_historical,7.45,2.24,21.56,0.44,36.26,78.2
2021-06-15,HUYE,Night,26773.4,20954.3,5819.1,1354480.0,16092890.0,14738410.0,system_historical,7.21,3.17,22.79,0.33,21.47,78.3
2021-07-01,HUYE,Day,23754.0,16874.1,6879.9,1350631.0,12959321.0,11608690.0,system_historical,6.92,3.51,20.29,0.39,24.4,71.0
2021-07-15,HUYE,Day,26367.3,19067.3,7300.0,1456726.0,14643704.0,13186977.0,system_historical,7.41,1.72,19.79,0.41,36.6,72.3
2021-08-01,HUYE,Night,26615.9,20431.3,6184.7,1499238.0,15691207.0,14191969.0,system_historical,7.42,1.57,22.47,0.32,40.73,76.8
2021-08-15,HUYE,Night,25480.5,19188.0,6292.5,1464599.0,14736346.0,13271747.0,system_historical,7.24,1.85,23.07,0.3,32.15,75.3
2021-09-01,HUYE,Day,24981.8,17749.1,7232.7,1512576.0,13631300.0,12118724.0,system_historical,7.4,3.04,20.35,0.44,34.42,71.0
2021-09-15,HUYE,Day,26857.4,20714.0,6143.5,1467342.0,15908314.0,14440972.0,system_historical,6.89,4.26,19.6,0.43,35.28,77.1
2021-10-01,HUYE,Night,24489.3,18527.5,5961.8,1369324.0,14229119.0,12859795.0,system_historical,7.3,4.29,21.08,0.44,27.66,75.7
2021-10-15,HUYE,Night,23587.0,17604.4,5982.7,1477654.0,13520144.0,12042491.0,system_historical,7.1,2.95,23.92,0.44,36.27,74.6
2021-11-01,HUYE,Day,26131.0,20578.4,5552.6,1510813.0,15804215.0,14293402.0,system_historical,7.33,3.25,19.99,0.31,21.63,78.8
